TableName,ColumnName,KeyType,ReferenceTable,ReferenceColumn
FOOD NAME,FoodID,P,,
FOOD NAME,FoodGroupID,F,FOOD GROUP,FoodGroupID
FOOD GROUP,FoodGroupID,P,,
FOOD SOURCE,FoodSourceID,P,,
NUTRIENT AMOUNT,FoodID,F,FOOD NAME,FoodID
NUTRIENT AMOUNT,NutrientSourceID,F,NUTRIENT SOURCE,NutrientSourceID
NUTRIENT AMOUNT,FoodID,P,,
NUTRIENT AMOUNT,NutrientID,P,,
NUTRIENT AMOUNT,NutrientSourceID,P,,
NUTRIENT NAME,NutrientID,P,,
NUTRIENT SOURCE,NutrientSourceID,P,,
CONVERSION FACTOR,FoodID,F,FOOD NAME,FoodID
CONVERSION FACTOR,FoodID,P,,
CONVERSION FACTOR,MeasureID,P,,
MEASURE NAME,MeasureID,P,,
REFUSE AMOUNT,FoodID,F,FOOD NAME,FoodID
REFUSE AMOUNT,RefuseID,F,REFUSE NAME,RefuseID
REFUSE AMOUNT,FoodID,P,,
REFUSE AMOUNT,RefuseID,P,,
REFUSE NAME,RefuseID,P,,
YIELD AMOUNT,FoodID,F,FOOD NAME,FoodID
YIELD AMOUNT,YieldID,F,YIELD NAME,YieldID
YIELD AMOUNT,FoodID,P,,
YIELD AMOUNT,YieldID,P,,
YIELD NAME,YieldID,P,,
